anlaegsbet,kommunenav,mean_elev,sd
Affaldsgrube,Kolding,42.3051991116059,16.546499655225862
Affaldsgrube,Langeland,10.731119597287627,6.213408411836994
Affaldsgrube,Lejre,33.93509585638077,21.728981263276882
Affaldsgrube,Lemvig,31.905387456702627,21.877396797231867
Affaldsgrube,Lolland,6.555094259667982,3.8222761489955763
Affaldsgrube,Lyngby-Taarbæk,31.06293097003397,11.46767154401433
Affaldsgrube,Mariagerfjord,45.58036621981707,14.880268873995512
Affaldsgrube,Middelfart,22.103047467828514,10.177562456508857
Affaldsgrube,Morsø,21.404826764393704,12.03488131841633
Affaldsgrube,Næstved,27.37480719940545,18.791618706068256
Affaldsgrube,Norddjurs,24.987442917954095,12.945394139735955
Affaldsgrube,Nordfyns,19.187148160604004,12.359182355263712
Affaldsgrube,Nyborg,19.479488230442605,16.695709948618756
Affaldsgrube,Odder,26.72492298249462,23.401165774368334
Affaldsgrube,Odense,19.563901297102554,11.022025587085736
Affaldsgrube,Odsherred,30.67941759858563,16.58001404746409
Affaldsgrube,Randers,36.321405104024706,15.153794052163644
Affaldsgrube,Rebild,47.60555346862892,18.158780433223868
Affaldsgrube,Ringkøbing-Skjern,33.566495713534536,19.715565175195266
Affaldsgrube,Ringsted,40.08238107989035,11.872373839131534
Affaldsgrube,Roskilde,31.822250296994934,12.329703806016852
Affaldsgrube,Rudersdal,37.80169214045328,14.515238011151242
Affaldsgrube,Samsø,12.068307302462264,7.098275386320643
Affaldsgrube,Silkeborg,66.94539482180852,23.91526270903256
Affaldsgrube,Skanderborg,68.1406536527976,19.120380803896868
Affaldsgrube,Skive,24.01295000636167,12.569737961811775
Affaldsgrube,Slagelse,26.98836831765008,20.581061782376818
Affaldsgrube,Solrød,15.164453125703291,9.485422642407427
Affaldsgrube,Sønderborg,22.815643417880725,13.060901819820709
Affaldsgrube,Sorø,41.020746807381464,7.251550135237878
Affaldsgrube,Stevns,21.800983339555568,9.664079477065986
Affaldsgrube,Struer,27.827048526362983,9.013036176210994
Affaldsgrube,Svendborg,44.05335286359112,22.69491886271786
Affaldsgrube,Syddjurs,31.742998200199324,18.313243915225453
Affaldsgrube,Tårnby,4.920308932313235,0.4285491191803071
Affaldsgrube,Thisted,25.360747818368,11.592367660246175
Affaldsgrube,Tønder,17.04795957786129,14.849801169038383
Affaldsgrube,Vallensbæk,4.172080739311149,1.4948572573235688
Affaldsgrube,Varde,16.627909115859133,10.984447676370307
Affaldsgrube,Vejen,49.077512677286386,13.803677080201847
Affaldsgrube,Vejle,70.95791802975002,26.269046372650294
Affaldsgrube,Vesthimmerlands,29.18648153711837,13.843378394918455
Affaldsgrube,Viborg,37.879770674728185,16.067149817591638
Affaldsgrube,Vordingborg,26.259878535902857,19.92412677822213
Afløbsrende,København,3.2644192970312282,5.122709701626286
Afløbsrende,Køge,3.111211912969315,1.7160231385359366
Afløbsrende,Nyborg,4.542993130099731,2.8942172718138743
Afløbsrende,Odense,11.744094524573633,0.29164514590859936
Anker,Fredensborg,9.239680290222168,0
Anker,Frederikshavn,5.878013246807703,9.50444557522034
Anker,Hjørring,7.828537669144767,11.071114212791743
Anker,Holstebro,2.2366972459596646,0
Anker,Læsø,3.5187175071011163,1.612438781092706
Anker,Lemvig,1.8262267159775156,0
Anker,Ringkøbing-Skjern,8.206985053551628,5.984069411978009
Anker,Thisted,17.33985841007529,6.410131668644951
Anlæg afventer klassifikation,Odense,17.32342302149089,18.43769167923863
Båd-/skibsgrav,Aalborg,56.32799732311194,0
